received,employer,city,region,layoff_dates,employees
2026-05-13,"Aramark Campus, LLC (dba Aramark)","Lowell, MA",Northeast,2026-07-14,54
2026-05-07,"Dover Saddlery, Inc.","Littleton, MA",Central,7/7/2026 - 7/20/2026,112
2026-05-07,"*Updated* Community Healthlink, Inc. (aka CHL)","Leominster, Webster & Worcester, MA",Central,6/30/2026 - 7/6/2026,84
2026-05-05,"Peabody Opco, LLC (f/k/a Christianbook, LLC) and Peabody Fulfillment, LLC (f/k/a Christianbook Fulfillment, LLC) (aka Christianbook Entities)","Peabody, MA",Northeast,2026-07-06,50
2026-05-01,Managed Services-IDS (dba Cardinal Health),"Tewksbury, MA",Northeast,2026-06-30,58
2026-05-01,Community Counseling of Bristol County (aka CCBC),"Attleboro, Brockton, Fall River, New Bedford & Taunton, MA",Southeast,6/30/2026 - 7/13/2026,52
2026-05-01,"Compass Group USA, Inc.","Boston, MA",Boston,2026-07-01,83
2026-05-01,"Community Healthlink, Inc. (aka CHL)","Leominster, Webster & Worcester, MA",Central,2026-06-30,78
2026-04-29,"Innovative Care Partners, LLC (aka ICP)","Northampton, Pittsfield & West Springfield, MA",Western,2026-06-30,70
2026-04-23,Anna Maria College,"Paxton, MA",Central,6/22/26 to 6/30/26,150
2026-04-22,KAC Logistics,"East Taunton, MA",Southeast,2026-06-16,40
2026-04-21,Hampshire College,"Amherst, MA",Western,06/16/26 - 12/31/26,199
2026-04-17,"Replimune, Inc.","Framingham, MA",Metro Southwest,4/17/26-4/24/26,80
2026-04-17,"*Updated* Replimune, Inc.","Woburn, MA",Boston,4/17/26 - 4/24/26,81
2026-04-15,Aloha Logistics llc,"Taunton, MA",Southeast,2026-04-17,10
2026-04-13,"Replimune, Inc.","Woburn, MA",Boston,4/13/2026 - 4/24/2026,63
2026-04-03,South Shore Elder Services,"Braintree, MA",Southeast,6/1/2026 - 6/30/2026,52
2026-03-30,"Clover Fast Food, Inc. (Clover)","Cambridge, MA",Boston,2026-05-29,182
2026-03-29,Walmart,"Worcester, MA",Central,2026-05-29,90
2026-03-25,"Takeda Pharmaceuticals USA, Inc. (dba Takeda)","Cambridge, MA",Boston,7/1/2026 - 12/31/2027,247
2026-03-25,*Updated* Charles River Laboratories,"Wilmington, MA",Boston,4/24/2026 - 7/10/2026,71
2026-03-24,"*Updated* Revvity, Inc.","Boston, MA",Boston,6/1/2026 - 3/31/2027,29
2026-03-24,"Compass Group USA, Inc. (dba Chartwells)","Boston, MA",Boston,2026-05-27,76
2026-03-18,"WestRock Services, LLC (aka WestRock and Smurfit Westrock)","Wakefield, MA",Boston,2026-05-18,91
2026-03-12,*Updated* Boston Electrometallurgical Corporation (dba Boston Metal),"Woburn, MA",Boston,2026-04-21,71
2026-03-02,"Goulet Trucking, Inc.","South Deerfield, MA",Western,2026-04-18,144
2026-02-20,Boston Electrometallurgical Corporation (dba Boston Metal),"Woburn, MA",Boston,2026-03-14,71
2026-02-19,*Updated* Charles River Laboratories,"Wilmington, MA",Boston,4/24/2026 - 7/24/2026,71
2026-02-18,"Legends Global (dba Legends Attractions, LLC and Legends Music, LLC)","Boston, MA",Boston,2026-04-22,41
2026-02-11,"AE Regional Distribution Co., LLC (formerly known as Quiet Logistics, Inc.)","Devens, MA",Central,4/12/2026 - 5/6/2026,103
2026-02-10,Saks & Company LLC (dba Neiman Marcus),"Boston, MA",Boston,4/11/2026 - 4/30/2026,73
2026-02-09,Garlock Flexibles,"Gardner, MA",Central,4/30/2026 - 9/30/2026,91
2026-02-06,Smithfield Packaged Meats Corp.,"Springfield, MA",Western,4/10/2026 - 9/11/2026,190
2026-01-30,"Zipcar, Inc. (dba Zipcar)","Boston, MA",Boston,4/1/2026 - 4/14/2026,65
2026-01-26,"Panera, LLC (dba Panera)","Franklin, MA",Metro Southwest,3/25/2026 - 3/27/2026,92
2026-01-23,Thermo Fisher Scientific,"Franklin, MA",Metro Southwest,12/31/2026 - 12/31/2027,103
2026-01-16,"Medford CPL, Inc.","Medford, MA",Boston,2026-03-17,63
2026-01-15,"Takeda Pharmaceuticals America, Inc. (dba Takeda)","Cambridge, MA",Boston,2026-01-14,3
2026-01-15,CRRC MA,"Springfield, MA",Western,2026-03-16,161
2026-01-14,SMBC Manubank (dba JeniusBank),Statewide,Statewide,2026-03-10,161
2026-01-14,"Curia Global, Inc.","Burlington, MA",Boston,3/10/2026- 6/1/2026,81
2026-01-08,"Labcorp Early Development Laboratories, Inc., and Laboratory Corporation of America Holding (dba Labcorp)","Bedford, MA",Metro Southwest,3/9/2026 - 1/14/2027,94
2026-01-07,"Tessera Therapeutics, Inc.","Somerville, MA",Boston,2026-03-08,82
2025-12-19,"Smyth Companies, LLC","Wilmington, MA",Boston,3/1/2026 - 7/1/2026,69
2025-12-16,*Updated* Charles River Laboratories,"Wilmington, MA",Boston,1/6/2026 - 6/26/2026,71
2025-12-08,"ImmunityBio, Inc.","Woburn, MA",Boston,2026-01-30,1
2025-12-08,Eastern Bank,"Brockton, MA",Southeast,2/21/2026 - 5/31/2026,75
2025-12-08,"Rebel Restaurants, Inc. (dba Tony C's and Temazcal)","Boston, MA",Boston,2026-01-31,84
2025-12-02,"Dental Benefit Management, Inc. (dba BeneCare Dental Plans)","Worcester, MA",Central,1/31/2026 - 3/31/2026,50
2025-12-01,"*Updated* Revvity, Inc.","Lawrence, MA",Northeast,12/9/2025 - 12/31/2026,52
2025-11-25,"SynQor, Inc.","Boxborough, MA",Metro Southwest,2/1/2026 - 4/1/2026,250
2025-11-20,Nordstrom,Statewide,Statewide,3/1/2026 - 4/30/2026,2
2025-11-10,"Charles River Laboratories, Inc.","Wilmington, MA",Boston,1/6/2026 - 6/26/2026,68
2025-10-16,Empire Hospitality LLC (dba Westford Regency Inn & Conference Center),"Westford,MA",Northeast,2025-12-19,62
2025-10-14,The Fresh Market,"Framingham, MA",Metro Southwest,2025-12-14,50
2025-10-08,"Revvity, Inc.","Lawrence, MA",Northeast,1/1/2026 - 12/31/2026,51
2025-10-03,"*Updated* Revvity, Inc.","Boston, MA",Boston,11/1/2025 - 8/31/2028,76
2025-10-01,"Takeda Development Center Americas, Inc.","Cambridge, MA",Boston,1/1/2026 - 7/31/2026,137
2025-09-30,"*Updated* AlerisLife, Inc.","Newton, MA",Metro Southwest,11/3/2025 - 3/31/2026,179
2025-09-22,"TJX Companies, Inc.","Boston, MA",Boston,2026-01-05,117
2025-09-22,"Piedmont Airlines, Inc.","Boston, MA",Boston,2025-11-18,61
2025-09-10,"Revvity, Inc.","Boston, MA",Boston,11/1/2025 - 8/31/2028,74
2025-09-03,"AlerisLife, Inc.","Newton, MA",Metro Southwest,11/3/2025 - 12/31/2025,179
2025-09-02,"NGP Management, LLC","Haverhill, MA",Northeast,11/3/2025 - 11/27/2025,74
2025-08-20,"Airborn, a Molex Company","Taunton, MA",Southeast,12/31/2025 - 12/31/2026,86
2025-08-19,Tuscan Brands Kitchen,"Burlington, MA",Boston,2025-08-04,38
2025-08-18,"SDH Services East, LLC (dba-Sodexo)","Brockton, MA",Southeast,2025-09-30,64
2025-08-08,"*Updated* Kovalus Separation Solutions, LLC","Wilmington, MA",Boston,10/15/2025 - 12/1/2025,80
2025-08-04,"Cold Chain Technologies, LLC","Franklin, MA",Metro Southwest,10/1/2025 - 12/31/2025,82
2025-07-31,Ayr Wellness Massachusetts - M3,"Milford, MA",Central,2025-09-29,157
2025-07-17,"Sarepta Therapeutics, Inc.","Cambridge, Andover, Bedford","Boston, Northeast, Metro Southwest",2025-07-18,493
2025-07-16,GSK plc.,"Cambridge, MA",Boston,10/4/2025 - 3/31/2026,150
2025-07-14,"Hannaford Bros. Co., LLC","Marlborough, MA",Metro Southwest,2025-09-13,160
2025-07-08,"Azurity Pharmaceuticals, Inc.","Wilmington, MA",Boston,9/12/2025 - 12/31/2025,75
2025-07-02,S&C Corp,"Bridgewater, MA",Southeast,2025-06-15,63
8/24/2026,P1 Logistics LLC,"Littleton, MA",Central,10/24/2026 - 12/23/2026,77
8/17/2026,"Noble Equity Holdings LLC, Noble.com, LLC, Noble Supply & Logistics, LLC (f/k/a Noble Sales Co. Inc.), Tactical & Survival Specialties, LLC (f/k/a Tactical & Survival Specialties, Inc.), Federal Resource Supply Company, LLC (f/k/a Federal Resource Supply Company), and K.D. Analytical Consulting, LLC (aka Noble)","Boston, MA",Boston,10/9/2026 - 10/23/2026,59
8/13/2026,*Updated* Thermo Fisher Scientific,"Franklin, MA",Metro Southwest,10/16/2026 - 03/31/2027,15
8/13/2026,"Postal Center International, Inc. (aka PCI)","Franklin, MA",Metro Southwest,8/13/2026 - 09/30/2026,112
8/12/2026,"*Updated* EMD Serono Research Development Institute, Inc.","Billerica, MA",Northeast,10/16/2026 - 10/30/2026,20
8/11/2026,SMBC Manubank (aka JeniusBank),Statewide,Statewide,10/9/2026,3
8/10/2026,"*Updated* Community Healthlink, Inc. (aka CHL)","Worcester and Leominster, MA",Central,10/9/2026,639
8/7/2026,Blueprint Medicines Corporation (aka Sanofi Company Blueprint),"Cambridge, MA",Boston,10/9/2026 - 6/25/2027,229
8/7/2026,National Express Transit Corp. (dba Kiessling of Attleboro),"Taunton and Wareham, MA",Southeast,9/15/2026,162
8/6/2026,"Pure Safety Group, Inc (dba Guardian Fall)","Franklin, MA",Metro Southwest,10/2/2026,5
7/31/2026,"*Updated* Community Healthlink, Inc. (aka CHL)","Worcester and Leominster, MA",Central,9/16/2026,236
7/30/2026,"*Updated* Community Healthlink, Inc. (aka CHL)","Worcester and Leominster, MA",Central,9/16/2026,234
7/15/2026,"*Updated* Community Healthlink, Inc. (aka CHL)","Worcester and Leominster, MA",Central,9/16/2026,231
7/9/2026,"SDH Education East, LLC (aka Sodexo)","Waltham, MA",Metro Southwest,8/11/2026,173
7/6/2026,"Joymark, Inc. (dba G2O Spa + Salon)","Boston, MA",Boston,8/31/2026,55
7/6/2026,"EMD Serono Research Development Institute, Inc.","Billerica, MA",Northeast,9/4/2026,70
7/1/2026,"Labouré College of Healthcare, Inc.","Milton, MA",Southeast,8/30/2026 - 6/30/2027,65
